Volatile_compounds,Analysis_method
pentyl-cyclopropane,GC-MS
"1-(2,6,6-trimethylcyclohexen-1-yl)but-2-en-1-one",GC-MS
hex-2-enal,GC-MS
CIS-3-HEXENOIC ACID,GC-MS
trans-2-Hexen-1-ol,GC-MS
TRANS-2-HEXENOIC ACID,GC-MS
顺式－2－庚烯醛,GC-MS
(E)-2-Octenal,GC-MS
cis-alpha-terpineol,GC-MS
"acor-4-ene (6,11-oxido)",GC-MS
trans-pinocamphone,GC-MS
3-neoisothujanol,GC-MS
cis-chrysantheol,GC-MS
thujopsadiene,GC-MS
Isopropyl myristate,GC-MS
Undecanoic acid,GC-MS
(E)-3-Hexen-1-yl acetate,GC-MS
tetradecamoic acid ethylester,GC-MS
patehouliolcohol,GC-MS
octodecane,GC-MS
arachyl-6-one,GC-MS
gamma-tocopherol,GC-MS
ergost-5-en-3-ol,GC-MS
C15H22O(MW=218),GC-MS
Drimenol,GC-MS
Isodrimenin,GC-MS
C5H24O (MW = 220),GC-MS
alpha-Zingiberene,GC-MS
Drimenin,GC-MS
(E.Z)-alpha-Farnesene,GC-MS
6-甲基-2-羧酸吡啶,GC-MS
 DIHYDROCARVEOL,GC-MS
"2,4-DIMETHYLCYCLOHEXANOL",GC-MS
"2,4-Dimethylphenol",GC-MS
3-（1-环己烯基）-2-丙烯醛,GC-MS
m-Tolualdehyde,GC-MS
"3',5'-Dihydroxyacetophenone",GC-MS
4-甲基-5-氨基乙烯基-6-羟基-2-羰基-3-吡啶甲腈,GC-MS
3-AMINO-2-CYCLOHEXEN-1-ONE,GC-MS
"6,10,14-三甲基-2-十五酮",GC-MS
NA,GC-MS
"3,7,11,15-TETRAMETHYL-2-HEXADECENYL ACETATE",GC-MS
"9,12,15-十八碳三烯酸-2,3-二羟基丙酯",GC-MS
Propylene Glycol,GC-MS
beta-Panasinsene,GC-MS
"4,5-Dehydro-isolongifolene",GC-MS
Longiverbenone,GC-MS
Paeond,GC-MS
Methyl eugend,GC-MS
Cianamic aldehyde,GC-MS
Methyl octadecanoate,GC-MS
"5-Eicosene, (E)-",GC-MS
trans-5-Octadecene,GC-MS
Docos-1-ene,GC-MS
Isononane,GC-MS
"1,3-Dimethyl-5-ethylbenzen",GC-MS
2-Azacyclooctanone,GC-MS
Hemimellitene,GC-MS
4-Methyloctane,GC-MS
3-Methyloctane,GC-MS
"2,5-Dimethylethylbenzene",GC-MS
Salicylaldehyde,GC-MS
"2,4-heptadienal",GC-MS
"2,4-Hexadienal",GC-MS
1-Heptanol,GC-MS
cis-Nerolidol,GC-MS
丁子香基乙醇,GC-MS
methyi linoienate,GC-MS
methyl linoleaie,GC-MS
gcranytaccione,GC-MS
3.4-dimeihoxyphenol,GC-MS
"2,4-dihydroxyacclophcnone",GC-MS
phcnylethyl alcohnl,GC-MS
Citral B,GC-MS
1S-beta-Pinene,GC-MS
n-hexane,GC-MS
"Acetic acid, isobornyl acrylate",GC-MS
(1-Methylethyl)-cyclohexane,GC-MS
Undecanal,GC-MS
ethyl linoleolate,GC-MS
"2,5-dimethylcyclohexanol",GC-MS
10-Undecenal,GC-MS
Naphthalene，1，7-dimethoxy-,GC-MS
"2，4-Methanov2H-indeno［1,2 － b:5，6 － b'］bisoxirene octahydro-",GC-MS
Phenol，2，4-bis(1，1-dimethylethyl)-,GC-MS
Oxalic acid，dodecyl hexyl ester,GC-MS
Androsta-4，16-dien-3-one,GC-MS
5-alpha-Pregnan-20-one，12． beta． -hydroxy-,GC-MS
Phenol，2-［(1-methylethyl)thio］-,GC-MS
Benzene，1-(1-buten-3-yl)-2-vinyl-,GC-MS
1-Acetoxy-1-phenylbut-2-yne,GC-MS
Ethanone，1-(4-chlorophenyl)-,GC-MS
2，3，4-Tribromopentane,GC-MS
Furan，2-methoxy-5-methyl-4-phenyl-,GC-MS
Cyclohexane，1-methyl-4-(1-methylethenyl)-，cis,GC-MS
3，7，11，15-Tetramethyl-2-hexadecen-1-ol,GC-MS
1H-indole-5-carboxylic acid，2，3-dihydro-1，3-dioxo,GC-MS
3-Methylaminocarbonyl-1，2-diphenyl-cyclopropene,GC-MS
Cycloheptasiloxane，tetradecamethyl,GC-MS
Decanol，2-hexyl,GC-MS
gamma.-Lumicolchicine,GC-MS
"dl-,alpha,-Tocopherol succinate",GC-MS
7，10-Hexadecadienoic acid，methyl ester,GC-MS
Propyl nitrie,GC-MS
"1,1-Diethoxyethane",GC-MS
Ethanol，2-(1-methylethoxy)-,GC-MS
Benzene，chloro-,GC-MS
Phenol，2，6-bis(1，1-dimethylethyl)-,GC-MS
"9,12-Octadecadienoic acid(Z,Z)-",GC-MS
4-VinyIguaiacol,GC-MS
"Acetophenone, m-methaxy-",GC-MS
"H-Indole,4-(3-methyl-2-butenyl)-",GC-MS
cis-Hexadecenoic acid,GC-MS
"3,4-Dimethoxystyrene",GC-MS
"9,12,15-Octadecatrienoic acid,ethyl ester",GC-MS
"2,4-difluroro-1-isocyanato-Benzene",GC-MS
1－乙酸龙脑酯,GC-MS
alpha－去二氢菖蒲烯,GC-MS
"3,4－二甲基 －3－环己烯 －1－甲醛",GC-MS
（+）－epi－双环倍半水芹烯,GC-MS
alpha－衣兰烯,GC-MS
广藿香烯,GC-MS
dl－柠檬烯,GC-MS
isononyl alcohol,GC-MS
顺－３－己烯酸乙烯酯,GC-MS
"3,4-DIMETHYLCYCLOHEXANOL",GC-MS
"２,４－葵二烯醛",GC-MS
Beta-Damascone,GC-MS
Gingerol,GC-MS
2-butanone,GC-MS
反式－９－十八碳烯酸异丙酯,GC-MS
TRANS-11-OCTADECENOIC ACID METHYL ESTER,GC-MS
Linoleic acid propyl ester,GC-MS
"L-ASCORBYL 2,6-DIPALMITATE",GC-MS
Ethyl 10-undecenoate,GC-MS
"７,10,13－二十碳三烯酸甲酯",GC-MS
gamma－桉叶醇,GC-MS
Ethyl tridecanoate,GC-MS
ISOPROPYL LAURATE,GC-MS
Methyl 4-methoxybenzoate,GC-MS
tricosene,GC-MS
pentacosene,GC-MS
N-NONANE,GC-MS
3，7－二甲基－1，3，7辛三烯,GC-MS
2，6，6－三甲基－2－丁烯环乙二烯,GC-MS
(Z)-Phytol,GC-MS
Kaempferol,GC-MS
4-Hydroxybenzoic acid,GC-MS
4-Hydroxycinnamic acid,GC-MS
Ferulic acid,GC-MS
Penta-O-acetyl-beta-D-glucopyranose,GC-MS
Pollenitin,GC-MS
二氢-beta-紫罗兰酮,GC-MS
trans-2-Hexenyl acetate,GC-MS
顺式－13－十八酸甲酯,GC-MS
11－十八酸甲酯,GC-MS
6－十八酸,GC-MS
DECAMETHYLTETRASILOXANE,GC-MS
Z-alpha-Bisabolene,GC-MS
E-alpha-Bergamotene,GC-MS
gamma-Terpineol,GC-MS
Z-beta-Guaiene,GC-MS
gamma-Dodecalactone,GC-MS
Octyl acetate,GC-MS
Isoamyl acetate,GC-MS
(Z)-3-Hexen-l-ol,GC-MS
Dodecane,GC-FID
Camphor,GC-FID
2-Phenylethanol,GC-FID
Octane,GC-FID
Borneol,GC-FID
cis-Verbenol,GC-FID
Elemicin,GC-FID
alpha-Cadinol,GC-FID
6-Methyldodecane,GC-FID
4-Terpineol,GC-FID
Tridecane,GC-FID
Perillaldehyde,GC-FID
Perillyl alcohol,GC-FID
Eugenol,GC-FID
Methyleugenol,GC-FID
Linolenic alcohol,GC-MS
Stearic aldehyde,GC-MS
十七烯-1,GC-MS
反式-氧化芳樟醇,GC-MS
十五碳-2-酮,GC-MS
3-nethyL-tetrahydrafuren,GC-MS
"1,8-rineole",GC-MS
"pentmne,3- methylene",GC-MS
"2,6,10,15-tramethyl heptndecane",GC-MS
(Z，Z) － 2 －羟基 － 1 －羟甲基 －亚油酸乙酯,GC-MS
N-HEXADECANE-D34,GC-MS
(E) －癸烯醛,GC-MS
(Z) － 9，17 －十八二烯醛,GC-MS
顺势-氧化芳樟醇,GC-MS
Vanillyl alcohol,GC-MS
廿一烷,GC-MS
2-Ethylphenol,GC-MS
"spiro[4,5]dec-6-en-8-one,1,7-dimethyl-4-(1-methyle)",GC-MS
curlone,GC-MS
"Bicyclo[3.1.1]heptan-2-one,6,6-dimethyl-,(1R)",GC-MS
"12-octadecenoic acid,methyl ester",GC-MS
nonadecane 9-methyl,GC-MS
Allyl-6-methoxyphenol,GC-MS
"4-Hexen-1-ol,acetate",GC-MS
(-)-Citronellol,GC-MS
beta-乙酸苯乙酯,GC-MS
丁子香酚甲醚,GC-MS
顺-玫瑰醚,GC-MS
gamma-杜松烯,GC-MS
gamma-某洛烯,GC-MS
倍半萜,GC-MS
9，12-Octadecadienoic acid（ Z，Z）-,GC-MS
9-Nonadecene,GC-MS
Tridecane， 7-methyl-,GC-MS
2-Undecanethiol， 2-methyl-,GC-MS
"Azuleno[6，5-b]furan-2，5-dione， decahydro-7-hydroxy-4a，8-dimethyl-3-methylene-，[3aR-（ 3aà，4aá，7à，
7aà",GC-MS
l-（ +） -Ascorbic acid 2，6-dihexadecanoate,GC-MS
4，4'-Diazido-3，3'-dimethoxy-biphenyl,GC-MS
Hexadecane， 2，6，10，14-tetramethyl-,GC-MS
1，4-Diaza-9-oxaspiro[5.5]undecane，8-ethyl-8-methyl-,GC-MS
4-(2-Propyl-tetrahydro-pyran-4-yl)-thiazol-2-ylamine,GC-MS
（ S，Z） -5-Hydroxy-6-methyl-2-（（ 2S，5R） -5-methyl-5-vinyltetrahydrofuran-2-yl） hepta-4，6-dien-3-one,GC-MS
2H-pyrrol-2-one，3-（ diethylamino） -1，5-dihydro-4-hydroxy-1-methyl-,GC-MS
Imidazo[4，5-d]imidazole-2，5-dione，perhydro-1-ethyl-4，6-dimethyl-3-（ 2-oxiranylmethyl） -,GC-MS
"Spiro[bicyclo[2.2.1]heptane-2,2'-[1,3]dioxolane]-3-ol, 4,7,7-trimethyl-",GC-MS
(Z)-2-Pentenol,GC-MS
(E)-Phytol,GC-MS
cis-Cadin-4-en-7-ol,GC-MS
ρ-Vinylphenol,GC-MS
(E)-beta-Damascenone,GC-MS
1H-Pyrrole,GC-MS
"3,4-dimethyl-5-pentylidene-2(5H)-furanone",GC-MS
2-(2-Methoxyethoxy)ethanol,GC-MS
2-Methylpentanol-2,GC-MS
"2,4-Pentadione",GC-MS
trans-Linalooloxide,GC-MS
3-Methylpentanol-3,GC-MS
z-3-hexenyl tiglate,GC-MS
Hexyl tiglate,GC-MS
Ho-trienol,GC-MS
cis-3-Hexenol,GC-MS
DoEthyl decanoate,GC-MS
Cyclosativene,GC-MS
Benzyl tiglate,GC-MS
4-epi-Cubebol,GC-MS
Cubebol,GC-MS
"Megastigma-4,6(E),8(E)-triene",GC-MS
Ethyl etanoate,GC-MS
Isopenthyl hexanoate,GC-MS
3-methylbutyl octanoate,GC-MS
2–Methylbenzladehyde,GC-MS
2-Methylanthraquinone,GC-MS
Myristaldehye,GC-MS
"1,2–Benzenedicarboxylic acid",GC-MS
1–Allyl–4–methoxybenzene,GC-MS
8–Methylundecene,GC-MS
"9,17–Octadecadienal",GC-MS
"1,3,12–Nonadecatriene",GC-MS
gamma–Stearolactone,GC-MS
Mollugin,GC-MS
"2-Cyclopenten-1-one, 3-methyl",GC-MS
"2-(1,1-dimethylethyl)-3,4-dihydro-1(2H)-naphthalenone",GC-MS
4-tert-butyl-2-phenyl- phenol,GC-MS
2-Methyl-1-nitroanthraquinone,GC-MS
2-t-butyl-4-(dimethylbenzyl) phenol,GC-MS
1-hydroxy-4-methylanthraquinone,GC-MS
1-Hydroxy-3-methoxy-6-methylanthraquinone,GC-MS
11-hydroxycannabinol,GC-MS
"9-octadecenoic acid, methyl ester",GC-MS
"Caryophylla-4(14),8(15)dien-5-alpha-ol",GC-MS
cis-beta-Guaine,GC-MS
Geijerene,GC-MS
2-Undecanol,GC-MS
Dictamnol,GC-MS
(Z)-Muurola-4(14)-diene,GC-MS
beta-Copaene-4a-ol,GC-MS
(E)-p-Menth-2-en-1-ol,GC-MS
gamma-Gurjunene,GC-MS
"p-Mentha-2,4(8)-diene",GC-MS
trans-p-Menth-2-en-ol,GC-MS
p-Menth-8-en-3-ol,GC-MS
trans-V erbenol,GC-MS
cis-alpha-Bergamotene,GC-MS
Ethylp-methoxycinnamate,GC-MS
"p-Mentha-2,8-dien-1-ol",GC-MS
Wym3TH44BC,GC-MS
"Humulene 1,2-epoxide",GC-MS
gamma-Cadinol,GC-MS
alpha- Cadinol,GC-MS
"6,10-Dimethyl-2-undecanone",GC-MS
2-Hexylcyclopentanone,GC-MS
1-Bromo-4-bromomethyl decane,GC-MS
"3,5,11,15-Tetramethyl-1-hexadecen-3-ol",GC-MS
"15-Methyl- hexadecanoic acid, methyl ester",GC-MS
"cis-p-Mentha-2,8-dien-1-ol",GC-MS
(-)-alpha-Terpineol,GC-MS
"6-Octenal, 3,7-dimethyl-",GC-MS
Dihydrocarvone,GC-MS
Methoprene,GC-MS
"1,2-Cyclohexanediol, 1-methyl-4-(1-methylethenyl)-",GC-MS
"2,6-Octadien-1-ol, 3,7-dimethyl-, acetate, (Z)-",GC-MS
"7-Oxabicyclo[4.1.0]heptane, 1-methyl-4-(1-methylethenyl)-",GC-MS
"2-Octen-1-ol, 3,7-dimethyl-, isobutyrate, (Z)-",GC-MS
"2,4-Dodecadienoic acid, 11-methoxy-3,7,11-trimethyl-,methyl ester, (E,E)-",GC-MS
Geranyl methyl ether,GC-MS
"3,7-Nonadien-2-ol, 4,8-dimethyl-",GC-MS
Isolimonene,GC-MS
3-Octyn-2-ol,GC-MS
Cyclooctyl alcohol,GC-MS
"1,3,6-Octatriene, 3,7-dimethyl-, (Z)-",GC-MS
Limonene oxide,GC-MS
异大茴香脑,GC-MS
"TERPINENE, gamma-(P)",GC-MS
大茴香脑,GC-MS
"1-甲基-1,2-二乙撑环己烯-5",GC-MS
beta-Santalol,GC-MS
Bergamotol,GC-MS
Sinensal,GC-MS
Methyl santalol,GC-MS
Stearamide,GC-MS
Palmitamide,GC-MS
alpha-Santalol,GC-MS
Terpinen,GC-MS
"2-Norbornen-7-ol, 7-(p-methoxyphenyl)-, syn-",GC-MS
Pregeijerene,GC-MS
"(3S,4S)-4-Ethenyl-4-methyl-3-(prop-1-en-2-yl)cyclohexene",GC-MS
"(1S,3aR,8aS)-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol",GC-MS
"8S,13-Cedranediol",GC-MS
8-epi-Dictamnol,GC-MS
"Bicyclo[2.2.2]octa-2,5-diene, 1,2,3,6-tetramethyl-",GC-MS
Mansonone C,GC-MS
"3-Methyl-3,4-divinylcyclohexene",GC-MS
cis-8-Methyl-1alpha-acetyl-hydrindane,GC-MS
"4-(2-Norbornyl)-2,6-xylenol",GC-MS
1-Methyl-4-(1-methylethylidene)-2-(1-methylvinyl)-1-vinylcyclohexane,GC-MS
Alloaromadendrene,GC-MS
"1,5,5-Trimethyl-6-methylene-cyclohexene",GC-MS
tau-Muurolol,GC-MS
beta-Cedrene,GC-MS
"1-Ethenyl-1-methyl-2,4-bis(1-methylethylidene)cyclohexane",GC-MS
alpha-Cadinoll,GC-MS
"3,7-Dimethylocta-1,3,7-triene",GC-MS
"4,4,6,6-Tetramethylbicyclo[3.1.0]hex-2-ene",GC-MS
Cembrene,GC-MS
1-Methyloctyl acetate,GC-MS
Bergapten,GC-MS
Piperonyl acetone,GC-MS
isodecyl methyl ketone,GC-MS
1-Methyldecyl acetate,GC-MS
Psoralen,GC-MS
2-Decanone,GC-MS
2-Nonanol,GC-MS
Methyl palmitoleate,GC-MS
Ethyl tetradecanoate,GC-MS
Ethyl palmitoleate,GC-MS
(+)-Longifolene,GC-MS
"4,6-Dimethylundecane",GC-MS
2-Allyl-6-methoxyphenol,GC-MS
Isopimpinellin,GC-MS
(Z)-isoelemicine,GC-MS
(+)-alpha-Phellandrene,GC-MS
(R)-(-)-alpha-Phellandrene,GC-MS
(Z)-p-Menth-2-en-1-ol,GC-MS
Dihydrocarveol,GC-MS
3-borneol,GC-MS
iso thujanol,GC-MS
Neoisopulegol,GC-MS
"1,5,5-trimethylbicyclo[2.2.1]heptan-2-ol",GC-MS
Phellandral,GC-MS
4-Isopropyl-3-methylphenol,GC-MS
"1,2,3,4,4a,8a-Hexahydronaphthalene",GC-MS
"Cyclohexanol, 4-(1-methylethyl)-, acetate, cis-",GC-MS
"1,2-Dimethylcyclohexene",GC-MS
"3,4-Dimethylcyclopent-2-en-1-one",GC-MS
"Cyclohexen-1-ol,2-methyl-5-(1-methylethenyl)-,cis-",GC-MS
Butane,GC-MS
Carvomenthone isomer,GC-MS
Isobutane,GC-MS
3-Thujanol,GC-MS
Pentane,GC-MS
Dimethyldecane,GC-MS
Styrene,GC-MS
"Carbonic acid, decyl 2-ethylhexyl ester",GC-MS
"1,2-Cyclohexanediol",GC-MS
"3,5-Octadiene - 2 - alcohol",GC-MS
"Oxime-, methoxy-phenyl-",GC-MS
.alpha.-Copaen-11-ol,GC-MS
2-Methyl-2-buten-1-OL,GC-MS
Cinnamyl alcohol,GC-MS
Tiglic acid,GC-MS
Epizonarene,GC-MS
"1,2,3,4-Tetrahydro-1,6-dimethyl-4-isopropylnaphtalene",GC-MS
"1,2-Cyclohexanedione",GC-MS
Endo-alpha-bergamotene,GC-MS
"cis-Guaia-3,9-dien-11-ol",GC-MS
2-Methoxybenzaldehyde,GC-MS
Caffeoyl hexose-deoxyhexoside II,GC-MS
Chlorogenic Acid,GC-MS
Procyanidin B2,GC-MS
Procyanidin C1,GC-MS
Epigallocatechin,GC-MS
(-)-Epigallocatechin gallate,GC-MS
B-type procyanidin trimer IV,GC-MS
Procyanidin B1,GC-MS
Narcissoside,GC-MS
Quercetin-acylated-hexoside I,GC-MS
Quercetin-acylated-hexoside II,GC-MS
Isorhamnetin-acylated-hexoside III,GC-MS
Quercetin acylated-deoxyhexoside I,GC-MS
Quercetin acylated-deoxyhexoside II,GC-MS
Isoramnetin 3-O-galactoside,GC-MS
Pyrogallol,GC-MS
"(2R,3R,4R,5R)-2,3,4,5,6-pentahydroxyhexanal",GC-MS
Quinic acid,GC-MS
Caffeine,GC-MS
Theobromine,GC-MS
cis-7-Hexadecenoic Acid methyl ester,GC-MS
Tritetracontane,GC-MS
Trielaidin,GC-MS
"1,3-Dioxane, 4-(hexadecyloxy)-2-pentadecyl-",GC-MS
"3,7,11,15-Tetramethyl-2-hexadecen-1-OL",GC-MS
2-hidroxy-6-methyl- benzaldehyde,GC-MS
Methyl 12-methyltridecanoate,GC-MS
1-Pentacontanol,GC-MS
Dotriacontanal,GC-MS
Triacontanal,GC-MS
Octacosanal,GC-MS
Dotriacontanol,GC-MS
1-Triacontanol,GC-MS
Dotriacontanoic acid,GC-MS
Triacontanoic acid,GC-MS
Octacosanoic acid,GC-MS
4-Hydroxyacetophenone,GC-MS
Tetracontanal,GC-MS
Nonacosanal,GC-MS
1-Nonacosanol,GC-MS
Nonacosanoic acid,GC-MS
7-Ethyl-2-methyl-4-undecanol,GC-MS
Melamine,GC-MS
Sandal,GC-MS
alpha-Bergamotenol,GC-MS
epi-beta-santalol,GC-MS
(2E)-2-Methyl-6-(4-methylphenyl)-2-hepten-1-ol,GC-MS
alpha-Santalal,GC-MS
trans-beta-Santalol,GC-MS
cis-Lanceol,GC-MS
beta-Santalene,GC-MS
Epi-beta-Santalene,GC-MS
alpha-Santalene,GC-MS
spirosantalol,GC-MS
beta-Bisabolol,GC-MS
dihydro-alpha-santalol,GC-MS
beta-Santalal,GC-MS
l-Menthol,GC-MS
Valeric acid,GC-MS
Ethyl formate,GC-MS
Guaiacol,GC-MS
Acetosyringone,GC-MS
Paeoniflorigenone,GC-MS
Benzyl formate,GC-MS
trans-2-Dodecen-1-ol,GC-MS
trans-2-Tridecen-1-ol,GC-MS
Fluoroethane,GC-MS
Isobutanol,GC-MS
2(3H)-Furanone,GC-MS
Dimethyl Sulfoxonium formylmethylide,GC-MS
Ascorbic acid,GC-MS
Octadecenoic acid,GC-MS
Ricinoleic acid,GC-MS
Carboxylic acid,GC-MS
Cyclopentanone,GC-MS
3-Methyl-2-buten-1-OL,GC-MS
Butyric acid,GC-MS
2-Ethyl-1-decene,GC-MS
4-Tridecanone,GC-MS
Ethyl docosanoate,GC-MS
"6,6-Dimethyl-2-methylenebicyclo[3.1.1]hept-3-yl acetate",GC-MS
Cedrane diol,GC-MS
Methyl 9-methyltetradecanoate,GC-MS
"1,3-Benzodioxole",GC-MS
Benzene acetic acid,GC-MS
Heneicasane,GC-MS
Cycloundecatriene,GC-MS
"6-(2-propen-1-yl)-1,3-benzodioxol-5-ol",GC-MS
2-allyl sesamol,GC-MS
"2,5-Dimethylpyrazine",GC-MS
2-Methylbenzo[B]thiophene-7-carboxylic acid,GC-MS
"2,6,10,14-Hexadecatetraen-1-ol",GC-MS
9-trans-hexadecenol,GC-MS
"1xi,6xi,7xi-Cadina-4,9-diene",GC-MS
Apiole,GC-MS
Longifolol,GC-MS
Sativene,GC-MS
5-Methylhexyl acetate,GC-MS
"4(10)-Thujen-3-ol, (1S,3R,5S)-(+)-",GC-MS
"3,5-Dimethylstyrene",GC-MS
"1,5,7-octatrien-3-ol-2,6-dimethyl",GC-MS
d-Carvone,GC-MS
3-Methoxybenzaldehyde,GC-MS
Foeniculin,GC-MS
"trans-Muurola-4(14),5-diene",GC-MS
beta-Himachalene,GC-MS
alpha-Chamigrene,GC-MS
gamma-Himachalene,GC-MS
Isocaryopillene,GC-MS
"2,4a,5,6,7,8-Hexanhydro-3,5,5,9-tetramethyl-Benzocyloheptene",GC-MS
"2,2,5-Trimethylhexane-3,4-dione",GC-MS
4-propyl-6-heptadien-4-ol,GC-MS
5-Methylundecane,GC-MS
4-Methylundecane,GC-MS
6-Methyldodecane,GC-MS
"Bis (1,1-dimethylethyl) diazene",GC-MS
3-Methyltridecane,GC-MS
"2,3,5,8-Tetramethyldecane",GC-MS
Stearyl alcohol,GC-MS
(Z)-.beta.-Terpineol,GC-MS
(+)-Totarol,GC-MS
"2,3-Dimethylnonane",GC-MS
Oxacycloheptadecan-2-one,GC-MS
Acorone,GC-MS
Lilac aldehyde,GC-MS
"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",GC-MS
Butyl acrylate,GC-MS
2-Decenoic acid,GC-MS
Dibutyl ether,GC-MS
Lilac alcohol,GC-MS
Butyl propionate,GC-MS
gamma-Linolenic acid,GC-MS
Elaidamide,GC-MS
Ethyl gamma-linolenate,GC-MS
Retene,GC-MS
"1,3-Dimethoxybenzene",GC-MS
"(2E,7R,11R)-3,7,11,15-Tetramethyl-2-hexadecen-1-ol",GC-MS
trans-gamma-Cadinene,GC-MS
"12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-",GC-MS
1-Epicubenol,GC-MS
14-Hydroxy-9-epi-(E)-caryophyllene,GC-MS
E-.beta.-Guaiene,GC-MS
"1,10-Diepicubenol",GC-MS
"4,8,12,16-Tetramethylheptadecan-4-olide",GC-MS
Methyl 15-methylhexadecanoate,GC-MS
Methyl cis-11-eicosenoate,GC-MS
Methyl tetracosanoate,GC-MS
Pterin-6-carboxylic acid,GC-MS
"4-Hydroxy-10-methyl-3,4,7,8,9,10-hexahydro-2H-oxecin-2-one",GC-MS
Maltose,GC-MS
"8,8-Dimethyl-3,3a,4,5,6,7,8,8b-octahydro-2H-indeno[1,2-b]furan-2-one",GC-MS
Octose,GC-MS
"7,9-Di-tert-butyl-1-oxaspiro[4.5]deca-6,9-diene-2,8-dione",GC-MS
"12-Methyl-E,E-2,13-octadecadien-1-ol",GC-MS
"Dodecanoic acid, ester with 1,2,3-propanetriol diacetate",GC-MS
"10-Heptadecen-8-ynoic acid, methyl ester, (E)-",GC-MS
"(8E,11E,14E)-icosa-8,11,14-trienoic acid",GC-MS
Linoleoyl chloride,GC-MS
(Z)-hexadec-11-enoic acid,GC-MS
Digitoxin,GC-MS
"3,3',5,5'-Tetramethylbiphenyl",GC-MS
7-Methyl-octadecane,GC-MS
1，2，3-trimethyl-4-(1E)-1-propen-1-yl-Naphthalene,GC-MS
Dihexadecyl ether,GC-MS
beta-Cyclocitral,GC-MS
Dihydroactinidiolode,GC-MS
1-Heptadecene,GC-MS
"4-Allyl-2,6-dimethoxyphenol",GC-MS
2-Heptenal,GC-MS
"2,4-Decadinal",GC-MS
"2,4-Decadinal (2E,E)",GC-MS
"9,17-Octadecadienal, (Z)-",GC-MS
2-Palmitoylglycerol,GC-MS
2-Linoleoylglycerol,GC-MS
"Oleic acid, 3-hydroxypropyl ester",GC-MS
"3-Tetradecene, (Z)-",GC-MS
Pseudotropine,GC-MS
"3,6-Dihydroxytropane",GC-MS
3-Tigloyloxy-6-acetoxypropane,GC-MS
3-Hydroxy-6-Tigloyloxytropane isomer,GC-MS
Meteloidine,GC-MS
Apoatropine,GC-MS
6-Hydroxy-8-methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-phenylpropanoate,GC-MS
3-Tigloyloxy-6-isobutyryloxy-7-hydroxytropane,GC-MS
Hyoscyamine,GC-MS
6-Hydroxy-8-methyl-8-azabicyclo[3.2.1]octan-3-yl 2-phenylacrylate,GC-MS
"2-Butenoic acid, 2-methyl-, 6-hydroxy-8-methyl-7-(2-methyl-1-oxobutoxy)-8-azabicyclo[3.2.1]oct-3-yl ",GC-MS
3beta-Tigloyloxy-6-isovaleroyloxy-7-hydroxytropane,GC-MS
Scopolamine,GC-MS
"3,6-Ditigloyloxytropan-7-ol",GC-MS
7-Hydroxyhyoscyamine,GC-MS
3beta-Phenylacetoxytropane,GC-MS
"3-Phenylacetoxy-6,7-epoxytropane",GC-MS
3-(3'-Methoxytropoyloxy)tropane,GC-MS
Apohyoscine,GC-MS
Scopoline,GC-MS
Scopine,GC-MS
3beta-Hydroxy-6beta-tigloyloxytropane,GC-MS
"6,7-Dehydrohyoscyamine",GC-MS
3-Octen-2-one,GC-MS
6-Undecanone,GC-MS
2-Butyl-2-octenal,GC-MS
2-Pentadecanone,GC-MS
5-Bromo-3-methylidene-1-methoxycyclohexane,GC-MS
"2-Amino-4,7-pteridinedione",GC-MS
Heptyl p-toluenesulfonate,GC-MS
2-Hydroxy-benzoic ethylester,GC-MS
Thunbergol,GC-MS
Duvatrienediol isomer (alpha),GC-MS
Duvatrienediol isomer (beta),GC-MS
"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",GC-MS
beta-Cembrenediol,GC-MS
Butyl octanoate,GC-MS
Methyl decanoate,GC-MS
Tricosanoic acid,GC-MS
"Pentadecane, 8-hexyl-",GC-MS
"Stigmasta-5,23-dien-3beta-ol",GC-MS
alpha-Humulen,GC-MS
"1-Methyl-4-(6-methylhepta-1,5-dien-2-yl)cyclohex-1-ene",GC-MS
Caryophyllenepoxid,GC-MS
HydroxygermacrenD,GC-MS
4-Vinylphenol,GC-MS
dl-stenine,GC-MS
"9,10-Dicyanoanthracene",GC-MS
"1-tert-butyl-5-methoxy-2,2-dimethylindan",GC-MS
Benzo(a)naphthacene,GC-MS
"4,5,7-Trimethoxy-2-naphthalenecarboxylic acid methyl ester",GC-MS
Stemonine,GC-MS
syn-7-benzhydrylbicyclo[2.2.1]heptane,GC-MS
Cyclooctane,GC-MS
Hyacinthi,GC-MS
2-Methoxy-4-propylphenol,GC-MS
Acenaphthylene,GC-MS
4-Phenylbenzaldehyde,GC-MS
17-Octadecenal,GC-MS
Anthracene,GC-MS
"(2S,2'R,5'S)-Lilac aldehyde",GC-MS
"2H-Pyran-3-ol, 6-ethenyltetrahydro-2,2,6-trimethyl-",GC-MS
"3,4,5-Trimethoxytoluene",GC-MS
Methyl elaidate,GC-MS
